lanskod;lan_namn;kommunkod;kommunnamn;tatortskod;tatort;area_ha;bef
21;Gävleborg;2180;Gävle;T7344;Valbo;850;7147
20;Dalarna;2029;Leksand;T6596;Insjön;368;2141
20;Dalarna;2080;Falun;T6552;Grycksbo;294;1870
20;Dalarna;2029;Leksand;T6584;Häradsbygden;201;696
20;Dalarna;2023;Malung-Sälen;T6636;Malung;1047;4927
20;Dalarna;2080;Falun;T6780;Sågmyra;171;552
21;Gävleborg;2180;Gävle;T7170;Lindbacka, Jonstorp och Källhagen;56;445
20;Dalarna;2080;Falun;T6412;Bengtsheden;178;537
20;Dalarna;2080;Falun;T6814;Toftbyn;153;305
21;Gävleborg;2181;Sandviken;T7148;Järbo;293;1813
20;Dalarna;2029;Leksand;T6872;Västanvik;236;472
20;Dalarna;2023;Malung-Sälen;T6640;Malungsfors;276;574
20;Dalarna;2080;Falun;T6424;Bjursås;467;1968
21;Gävleborg;2180;Gävle;T7076;Gävle;3974;74884
20;Dalarna;2029;Leksand;T6608;Leksand;947;6107
20;Dalarna;2080;Falun;T6776;Svärdsjö;227;1335
17;Värmland;1737;Torsby;T5836;Sysslebäck;181;473
21;Gävleborg;2180;Gävle;T7038;Bönan;304;859
20;Dalarna;2029;Leksand;T6402;Alvik;172;304
21;Gävleborg;2180;Gävle;T7368;Åbyggeby;234;951
20;Dalarna;2029;Leksand;T6732;Siljansnäs;466;1274
21;Gävleborg;2180;Gävle;T7028;Björke;141;661
21;Gävleborg;2180;Gävle;T7346;Harkskär och Utvalnäs;146;411
20;Dalarna;2080;Falun;T6620;Linghed;175;529
20;Dalarna;2029;Leksand;T6574;Hjortnäs och Sunnanäng;198;259
20;Dalarna;2029;Leksand;T6816;Tällberg;547;875
21;Gävleborg;2180;Gävle;T7340;Trödje;93;337
20;Dalarna;2080;Falun;T6496;Enviken;325;840
20;Dalarna;2080;Falun;T6916;Övertänger;133;240
20;Dalarna;2062;Mora;T6540;Gesunda;184;260
20;Dalarna;2031;Rättvik;T6716;Rättvik;1232;5160
20;Dalarna;2023;Malung-Sälen;T6616;Limedsforsen;258;383
20;Dalarna;2031;Rättvik;T6848;Vikarbyn;348;1193
20;Dalarna;2031;Rättvik;T6410;Nittsjö, Sätra och Backa;309;575
20;Dalarna;2062;Mora;T6748;Sollerön;272;860
21;Gävleborg;2101;Ockelbo;T7236;Ockelbo;441;2875
20;Dalarna;2031;Rättvik;T6660;Nedre Gärdsjö;187;363
20;Dalarna;2062;Mora;T6844;Stenis och Vika;141;375
21;Gävleborg;2180;Gävle;T7016;Bergby;467;1549
21;Gävleborg;2180;Gävle;T7228;Norrsundet;256;966
20;Dalarna;2062;Mora;T6836;Venjan;213;226
20;Dalarna;2062;Mora;T6860;Vinäs;106;312
21;Gävleborg;2101;Ockelbo;T7372;Åmot;121;238
20;Dalarna;2062;Mora;T6672;Nusnäs;304;741
20;Dalarna;2031;Rättvik;T6436;Boda;288;528
20;Dalarna;2062;Mora;T6724;Selja;143;547
20;Dalarna;2062;Mora;T6648;Mora;1714;12602
20;Dalarna;2062;Mora;T6832;Vattnäs;111;345
21;Gävleborg;2101;Ockelbo;T7180;Lingbo;267;420
20;Dalarna;2031;Rättvik;T6560;Gulleråsen;265;359
20;Dalarna;2062;Mora;T6440;Bonäs;96;370
20;Dalarna;2023;Malung-Sälen;T6808;Transtrand;212;369
20;Dalarna;2062;Mora;T6864;Våmhus;234;831
20;Dalarna;2039;Älvdalen;T6500;Evertsberg;137;232
20;Dalarna;2034;Orsa;T6696;Orsa;1517;5349
20;Dalarna;2031;Rättvik;T6516;Furudal;131;396
20;Dalarna;2023;Malung-Sälen;T6784;Sälen;229;769
20;Dalarna;2034;Orsa;T6736;Skattungbyn;227;310
21;Gävleborg;2182;Söderhamn;T7352;Vallvik;95;242
21;Gävleborg;2183;Bollnäs;T7280;Sibo;129;281
20;Dalarna;2039;Älvdalen;T6884;Västermyckeläng;171;382
21;Gävleborg;2182;Söderhamn;T7188;Ljusne;317;1946
21;Gävleborg;2183;Bollnäs;T7156;Kilafors;151;1197
20;Dalarna;2039;Älvdalen;T6708;Rot;254;662
21;Gävleborg;2182;Söderhamn;T7024;Bergvik;168;719
21;Gävleborg;2182;Söderhamn;T7356;Vannsätter;101;444
21;Gävleborg;2182;Söderhamn;T7268;Sandarne;301;1681
21;Gävleborg;2183;Bollnäs;T7276;Segersta;165;352
20;Dalarna;2039;Älvdalen;T6448;Brunnsberg;121;200
21;Gävleborg;2182;Söderhamn;T7378;Vad, Åsbacka och Långrör;91;260
21;Gävleborg;2182;Söderhamn;T7212;Marmaskogen;292;1585
21;Gävleborg;2182;Söderhamn;T7214;Mohed;186;550
21;Gävleborg;2183;Bollnäs;T7058;Freluga;62;205
21;Gävleborg;2121;Ovanåker;T7360;Viksjöfors;89;264
21;Gävleborg;2182;Söderhamn;T7316;Söderhamn;916;12259
21;Gävleborg;2121;Ovanåker;T7000;Alfta;384;2348
21;Gävleborg;2121;Ovanåker;T7258;Runemo;79;249
21;Gävleborg;2183;Bollnäs;T7252;Rengsjö;57;245
21;Gävleborg;2183;Bollnäs;T7036;Bollnäs;1463;13716
21;Gävleborg;2121;Ovanåker;T7256;Roteberg;87;379
21;Gävleborg;2121;Ovanåker;T7044;Edsbyn;528;4179
21;Gävleborg;2182;Söderhamn;T7342;Trönö;83;215
21;Gävleborg;2183;Bollnäs;T7196;Lottefors;96;374
21;Gävleborg;2183;Bollnäs;T7004;Arbrå;291;1961
21;Gävleborg;2183;Bollnäs;T7348;Vallsta;66;288
21;Gävleborg;2184;Hudiksvall;T7048;Enånger;163;643
21;Gävleborg;2184;Hudiksvall;T7216;Njutånger;170;849
21;Gävleborg;2184;Hudiksvall;T7132;Iggesund;435;3419
20;Dalarna;2039;Älvdalen;T6788;Särna;317;675
21;Gävleborg;2161;Ljusdal;T7152;Järvsö;365;1557
21;Gävleborg;2184;Hudiksvall;T7320;Sörforsa;238;1581
21;Gävleborg;2161;Ljusdal;T7192;Los;159;354
21;Gävleborg;2184;Hudiksvall;T7120;Hudiksvall;1299;16081
21;Gävleborg;2184;Hudiksvall;T7232;Näsviken;183;910
21;Gävleborg;2184;Hudiksvall;T7128;Edsta;73;223
21;Gävleborg;2161;Ljusdal;T7124;Hybo;50;206
21;Gävleborg;2184;Hudiksvall;T7054;Fredriksfors;87;224
21;Gävleborg;2161;Ljusdal;T7064;Färila;315;1398
21;Gävleborg;2184;Hudiksvall;T7040;Delsbo;337;2185
21;Gävleborg;2161;Ljusdal;T7178;Lillhaga;75;411
21;Gävleborg;2161;Ljusdal;T7184;Ljusdal;735;7259
23;Jämtland;2361;Härjedalen;T7904;Lillhärdal;232;403
21;Gävleborg;2132;Nordanstig;T7136;Ilsbo;68;453
21;Gävleborg;2161;Ljusdal;T7324;Tallåsen;160;586
20;Dalarna;2039;Älvdalen;T6592;Idre;142;706
21;Gävleborg;2132;Nordanstig;T7304;Strömsbruk;92;360
21;Gävleborg;2184;Hudiksvall;T7056;Friggesund;78;530
21;Gävleborg;2132;Nordanstig;T7292;Stocka;95;340
21;Gävleborg;2132;Nordanstig;T7096;Harmånger;108;592
21;Gävleborg;2132;Nordanstig;T7020;Bergsjö;186;1292
