OBJECTID;AR;LANSKOD;AREA_HA;BEF;KOMMUNKOD;KOMMUNNAMN;TATORTSKOD;TATORT;LAN_NAMN
9667;2015;12;90;388;1265;Sjöbo;T2952;Karups sommarby;Skåne
9668;2015;12;111;1940;1263;Svedala;T3532;Klågerup;Skåne
9669;2015;12;36;239;1265;Sjöbo;T3816;Äsperöd;Skåne
9670;2015;12;196;2962;1281;Lund;T3416;Genarp;Skåne
9671;2015;12;90;327;1291;Simrishamn;T3152;Vik;Skåne
9672;2015;12;67;226;1270;Tomelilla;T3074;Skåne-Tranås;Skåne
9673;2015;12;395;4850;1281;Lund;T3776;Veberöd;Skåne
9674;2015;12;28;563;1231;Burlöv;T3374;Burlövs egnahem;Skåne
9675;2015;12;115;666;1291;Simrishamn;T3048;Sankt Olof;Skåne
9676;2015;12;770;7910;1265;Sjöbo;T3664;Sjöbo;Skåne
9677;2015;12;51;259;1230;Staffanstorp;T3543;Kyrkheddinge;Skåne
9678;2015;12;106;636;1265;Sjöbo;T3600;Lövestad;Skåne
9679;2015;12;838;15373;1230;Staffanstorp;T3696;Staffanstorp;Skåne
9680;2015;12;258;5959;1231;Burlöv;T3812;Åkarp;Skåne
9681;2015;12;412;6302;1281;Lund;T3380;Dalby;Skåne
9682;2015;12;199;4744;1230;Staffanstorp;T3460;Hjärup;Skåne
9683;2015;12;80;680;1281;Lund;T3480;Torna Hällestad;Skåne
9684;2015;12;31;376;1230;Staffanstorp;T2814;Bergströmshusen;Skåne
9685;2015;12;119;351;1291;Simrishamn;T3164;Vitaby;Skåne
9686;2015;12;594;12368;1262;Lomma;T3576;Lomma;Skåne
9687;2015;12;152;813;1265;Sjöbo;T3792;Vollsjö;Skåne
9688;2015;12;96;719;1270;Tomelilla;T2836;Brösarp;Skåne
9689;2015;12;94;780;1285;Eslöv;T3440;Harlösa;Skåne
9690;2015;12;74;351;1265;Sjöbo;T3360;Bjärsjölagård;Skåne
9691;2015;12;66;534;1281;Lund;T3648;Revingeby;Skåne
9692;2015;12;39;231;1262;Lomma;T3402;Flädie;Skåne
9693;2015;12;2630;87244;1281;Lund;T3584;Lund;Skåne
9694;2015;12;435;6306;1281;Lund;T3732;Södra Sandby;Skåne
9695;2015;12;507;9844;1262;Lomma;T3356;Bjärred;Skåne
9696;2015;12;41;412;1281;Lund;T3768;Vallkärra;Skåne
9697;2015;12;102;1943;1281;Lund;T3712;Stångby;Skåne
9698;2015;12;89;992;1285;Eslöv;T3400;Flyinge;Skåne
9699;2015;12;45;366;1285;Eslöv;T3436;Gårdstånga;Skåne
9700;2015;12;73;689;1261;Kävlinge;T3662;Sandskogen;Skåne
9701;2015;12;53;477;1261;Kävlinge;T3337;Barsebäckshamn;Skåne
9702;2015;12;139;1251;1285;Eslöv;T3588;Löberöd;Skåne
9703;2015;12;396;6481;1261;Kävlinge;T3592;Löddeköpinge;Skåne
9704;2015;12;61;689;1261;Kävlinge;T3336;Barsebäck;Skåne
9705;2015;12;276;4359;1261;Kävlinge;T3408;Furulund;Skåne
9706;2015;12;52;209;1266;Hörby;T3834;Önneköp;Skåne
9707;2015;12;72;283;1285;Eslöv;T3828;Örtofta;Skåne
9708;2015;12;30;229;1285;Eslöv;T3830;Väggarp;Skåne
9709;2015;12;45;391;1261;Kävlinge;T3568;Lilla Harrie;Skåne
9710;2015;12;64;376;1285;Eslöv;T3472;Hurva;Skåne
9711;2015;12;32;258;1261;Kävlinge;T2950;Järavallen;Skåne
9712;2015;12;486;9320;1261;Kävlinge;T3552;Kävlinge;Skåne
9713;2015;12;62;244;1261;Kävlinge;T3802;Västra Karaby;Skåne
9714;2015;12;68;866;1261;Kävlinge;T3388;Dösjebro;Skåne
9715;2015;12;487;3814;1261;Kävlinge;T3464;Hofterup;Skåne
9716;2015;12;212;1328;1290;Kristianstad;T2848;Degeberga;Skåne
9717;2015;12;36;208;1267;Höör;T3690;Snogeröd;Skåne
9718;2015;12;74;254;1290;Kristianstad;T2924;Huaröd;Skåne
9719;2015;12;46;240;1282;Landskrona;T3542;Kvärlöv;Skåne
9720;2015;12;67;442;1282;Landskrona;T3316;Annelöv;Skåne
9721;2015;12;44;298;1266;Hörby;T3636;Osbyholm;Skåne
9722;2015;12;205;1174;1282;Landskrona;T3718;Saxtorpsskogen;Skåne
9723;2015;12;238;271;1290;Kristianstad;T3018;Nyehusen och Furuboda;Skåne
9724;2015;12;59;224;1290;Kristianstad;T3170;Vittskövle;Skåne
